,electrophile,nucleophile,catalyst,base,miser_area_count,max,relative_count
899,e6,n20,AdBrettPhos Pd G3 45,BEMP 27,209.0,498.0000001,0.4196787147751649
898,e6,n20,AdBrettPhos Pd G3 45,BTMG 26,209.0,498.0000001,0.4196787147751649
900,e6,n20,AdBrettPhos Pd G3 45,BTTP 28,210.0,498.0000001,0.42168674690327573
896,e6,n20,AdBrettPhos Pd G3 45,DBU 24,229.0,498.0000001,0.4598393573373816
897,e6,n20,AdBrettPhos Pd G3 45,MTBD 25,214.0,498.0000001,0.42971887541571907
901,e6,n20,AdBrettPhos Pd G3 45,P1-t-octyl S17,214.0,498.0000001,0.42971887541571907
903,e6,n20,AdBrettPhos Pd G3 45,P2-t-Bu S18,221.0,498.0000001,0.44377510031249495
902,e6,n20,AdBrettPhos Pd G3 45,P2Et 29,250.0,498.0000001,0.5020080320277092
907,e6,n20,DTBPF Pd G3 38,BEMP 27,214.0,498.0000001,0.42971887541571907
906,e6,n20,DTBPF Pd G3 38,BTMG 26,215.0,498.0000001,0.4317269075438299
908,e6,n20,DTBPF Pd G3 38,BTTP 28,217.0,498.0000001,0.4357429718000516
904,e6,n20,DTBPF Pd G3 38,DBU 24,216.0,498.0000001,0.43373493967194077
905,e6,n20,DTBPF Pd G3 38,MTBD 25,215.0,498.0000001,0.4317269075438299
909,e6,n20,DTBPF Pd G3 38,P1-t-octyl S17,210.0,498.0000001,0.42168674690327573
911,e6,n20,DTBPF Pd G3 38,P2-t-Bu S18,219.0,498.0000001,0.43975903605627326
910,e6,n20,DTBPF Pd G3 38,P2Et 29,220.0,498.0000001,0.4417670681843841
891,e6,n20,RockPhos Pd G3 44,BEMP 27,227.0,498.0000001,0.45582329308116
890,e6,n20,RockPhos Pd G3 44,BTMG 26,224.0,498.0000001,0.44979919669682744
892,e6,n20,RockPhos Pd G3 44,BTTP 28,229.0,498.0000001,0.4598393573373816
888,e6,n20,RockPhos Pd G3 44,DBU 24,300.0,498.0000001,0.602409638433251
889,e6,n20,RockPhos Pd G3 44,MTBD 25,223.0,498.0000001,0.4477911645687166
893,e6,n20,RockPhos Pd G3 44,P1-t-octyl S17,231.0,498.0000001,0.4638554215936033
895,e6,n20,RockPhos Pd G3 44,P2-t-Bu S18,250.0,498.0000001,0.5020080320277092
894,e6,n20,RockPhos Pd G3 44,P2Et 29,373.0,498.0000001,0.7489959837853422
867,e6,n20,Xphos Pd G3 36,BEMP 27,234.0,498.0000001,0.4698795179779358
866,e6,n20,Xphos Pd G3 36,BTMG 26,235.0,498.0000001,0.47188755010604666
868,e6,n20,Xphos Pd G3 36,BTTP 28,227.0,498.0000001,0.45582329308116
864,e6,n20,Xphos Pd G3 36,DBU 24,230.0,498.0000001,0.4618473894654925
865,e6,n20,Xphos Pd G3 36,MTBD 25,234.0,498.0000001,0.4698795179779358
869,e6,n20,Xphos Pd G3 36,P1-t-octyl S17,243.0,498.0000001,0.48795180713093333
871,e6,n20,Xphos Pd G3 36,P2-t-Bu S18,227.0,498.0000001,0.45582329308116
870,e6,n20,Xphos Pd G3 36,P2Et 29,228.0,498.0000001,0.4578313252092708
883,e6,n20,tBuBrettPhos Pd G3 43,BEMP 27,301.0,498.0000001,0.6044176705613619
882,e6,n20,tBuBrettPhos Pd G3 43,BTMG 26,298.0,498.0000001,0.5983935741770294
884,e6,n20,tBuBrettPhos Pd G3 43,BTTP 28,299.0,498.0000001,0.6004016063051402
880,e6,n20,tBuBrettPhos Pd G3 43,DBU 24,258.0,498.0000001,0.518072289052596
881,e6,n20,tBuBrettPhos Pd G3 43,MTBD 25,235.0,498.0000001,0.47188755010604666
885,e6,n20,tBuBrettPhos Pd G3 43,P1-t-octyl S17,293.0,498.0000001,0.5883534135364752
887,e6,n20,tBuBrettPhos Pd G3 43,P2-t-Bu S18,293.0,498.0000001,0.5883534135364752
886,e6,n20,tBuBrettPhos Pd G3 43,P2Et 29,290.0,498.0000001,0.5823293171521426
875,e6,n20,tBuXPHOS Pd G3 42,BEMP 27,489.0,498.0000001,0.9819277106461992
874,e6,n20,tBuXPHOS Pd G3 42,BTMG 26,357.0,498.0000001,0.7168674697355687
876,e6,n20,tBuXPHOS Pd G3 42,BTTP 28,492.0,498.0000001,0.9879518070305318
872,e6,n20,tBuXPHOS Pd G3 42,DBU 24,371.0,498.0000001,0.7449799195291205
873,e6,n20,tBuXPHOS Pd G3 42,MTBD 25,384.0,498.0000001,0.7710843371945614
877,e6,n20,tBuXPHOS Pd G3 42,P1-t-octyl S17,498.0,498.0000001,0.9999999997991967
879,e6,n20,tBuXPHOS Pd G3 42,P2-t-Bu S18,461.0,498.0000001,0.9257028110590958
878,e6,n20,tBuXPHOS Pd G3 42,P2Et 29,376.0,498.0000001,0.7550200801696747
1043,e7,n10,AdBrettPhos Pd G3 45,BEMP 27,219.0,674.0000001,0.32492581597553033
1042,e7,n10,AdBrettPhos Pd G3 45,BTMG 26,241.0,674.0000001,0.3575667655255836
1044,e7,n10,AdBrettPhos Pd G3 45,BTTP 28,218.0,674.0000001,0.3234421364505279
1040,e7,n10,AdBrettPhos Pd G3 45,DBU 24,228.0,674.0000001,0.3382789317005521
1041,e7,n10,AdBrettPhos Pd G3 45,MTBD 25,270.0,674.0000001,0.4005934717506538
1045,e7,n10,AdBrettPhos Pd G3 45,P1-t-octyl S17,218.0,674.0000001,0.3234421364505279
1047,e7,n10,AdBrettPhos Pd G3 45,P2-t-Bu S18,218.0,674.0000001,0.3234421364505279
1046,e7,n10,AdBrettPhos Pd G3 45,P2Et 29,218.0,674.0000001,0.3234421364505279
1051,e7,n10,DTBPF Pd G3 38,BEMP 27,216.0,674.0000001,0.32047477740052305
1050,e7,n10,DTBPF Pd G3 38,BTMG 26,217.0,674.0000001,0.3219584569255255
1052,e7,n10,DTBPF Pd G3 38,BTTP 28,217.0,674.0000001,0.3219584569255255
1048,e7,n10,DTBPF Pd G3 38,DBU 24,217.0,674.0000001,0.3219584569255255
1049,e7,n10,DTBPF Pd G3 38,MTBD 25,218.0,674.0000001,0.3234421364505279
1053,e7,n10,DTBPF Pd G3 38,P1-t-octyl S17,217.0,674.0000001,0.3219584569255255
1055,e7,n10,DTBPF Pd G3 38,P2-t-Bu S18,216.0,674.0000001,0.32047477740052305
1054,e7,n10,DTBPF Pd G3 38,P2Et 29,217.0,674.0000001,0.3219584569255255
1035,e7,n10,RockPhos Pd G3 44,BEMP 27,219.0,674.0000001,0.32492581597553033
1034,e7,n10,RockPhos Pd G3 44,BTMG 26,285.0,674.0000001,0.42284866462569015
1036,e7,n10,RockPhos Pd G3 44,BTTP 28,219.0,674.0000001,0.32492581597553033
1032,e7,n10,RockPhos Pd G3 44,DBU 24,309.0,674.0000001,0.45845697322574824
1033,e7,n10,RockPhos Pd G3 44,MTBD 25,674.0,674.0000001,0.9999999998516321
1037,e7,n10,RockPhos Pd G3 44,P1-t-octyl S17,219.0,674.0000001,0.32492581597553033
1039,e7,n10,RockPhos Pd G3 44,P2-t-Bu S18,218.0,674.0000001,0.3234421364505279
1038,e7,n10,RockPhos Pd G3 44,P2Et 29,219.0,674.0000001,0.32492581597553033
1011,e7,n10,Xphos Pd G3 36,BEMP 27,219.0,674.0000001,0.32492581597553033
1010,e7,n10,Xphos Pd G3 36,BTMG 26,219.0,674.0000001,0.32492581597553033
1012,e7,n10,Xphos Pd G3 36,BTTP 28,218.0,674.0000001,0.3234421364505279
1008,e7,n10,Xphos Pd G3 36,DBU 24,220.0,674.0000001,0.3264094955005327
1009,e7,n10,Xphos Pd G3 36,MTBD 25,221.0,674.0000001,0.32789317502553517
1013,e7,n10,Xphos Pd G3 36,P1-t-octyl S17,218.0,674.0000001,0.3234421364505279
1015,e7,n10,Xphos Pd G3 36,P2-t-Bu S18,218.0,674.0000001,0.3234421364505279
1014,e7,n10,Xphos Pd G3 36,P2Et 29,218.0,674.0000001,0.3234421364505279
1027,e7,n10,tBuBrettPhos Pd G3 43,BEMP 27,223.0,674.0000001,0.33086053407554
1026,e7,n10,tBuBrettPhos Pd G3 43,BTMG 26,339.0,674.0000001,0.5029673589758209
1028,e7,n10,tBuBrettPhos Pd G3 43,BTTP 28,225.0,674.0000001,0.33382789312554484
1024,e7,n10,tBuBrettPhos Pd G3 43,DBU 24,252.0,674.0000001,0.3738872403006102
1025,e7,n10,tBuBrettPhos Pd G3 43,MTBD 25,415.0,674.0000001,0.6157270028760049
1029,e7,n10,tBuBrettPhos Pd G3 43,P1-t-octyl S17,222.0,674.0000001,0.32937685455053756
1031,e7,n10,tBuBrettPhos Pd G3 43,P2-t-Bu S18,219.0,674.0000001,0.32492581597553033
1030,e7,n10,tBuBrettPhos Pd G3 43,P2Et 29,223.0,674.0000001,0.33086053407554
1019,e7,n10,tBuXPHOS Pd G3 42,BEMP 27,218.0,674.0000001,0.3234421364505279
1018,e7,n10,tBuXPHOS Pd G3 42,BTMG 26,283.0,674.0000001,0.4198813055756853
1020,e7,n10,tBuXPHOS Pd G3 42,BTTP 28,225.0,674.0000001,0.33382789312554484
1016,e7,n10,tBuXPHOS Pd G3 42,DBU 24,230.0,674.0000001,0.34124629075055696
1017,e7,n10,tBuXPHOS Pd G3 42,MTBD 25,257.0,674.0000001,0.38130563792562233
1021,e7,n10,tBuXPHOS Pd G3 42,P1-t-octyl S17,219.0,674.0000001,0.32492581597553033
1023,e7,n10,tBuXPHOS Pd G3 42,P2-t-Bu S18,227.0,674.0000001,0.3367952521755497
1022,e7,n10,tBuXPHOS Pd G3 42,P2Et 29,222.0,674.0000001,0.32937685455053756
1091,e7,n13,AdBrettPhos Pd G3 45,BEMP 27,229.0,1043.0000001,0.21955896450435675
1090,e7,n13,AdBrettPhos Pd G3 45,BTMG 26,242.0,1043.0000001,0.23202301052425472
1092,e7,n13,AdBrettPhos Pd G3 45,BTTP 28,224.0,1043.0000001,0.21476510065054982
1088,e7,n13,AdBrettPhos Pd G3 45,DBU 24,249.0,1043.0000001,0.2387344199195844
1089,e7,n13,AdBrettPhos Pd G3 45,MTBD 25,289.0,1043.0000001,0.2770853307500397
1093,e7,n13,AdBrettPhos Pd G3 45,P1-t-octyl S17,224.0,1043.0000001,0.21476510065054982
1095,e7,n13,AdBrettPhos Pd G3 45,P2-t-Bu S18,233.0,1043.0000001,0.22339405558740227
1094,e7,n13,AdBrettPhos Pd G3 45,P2Et 29,224.0,1043.0000001,0.21476510065054982
1099,e7,n13,DTBPF Pd G3 38,BEMP 27,229.0,1043.0000001,0.21955896450435675
1098,e7,n13,DTBPF Pd G3 38,BTMG 26,228.0,1043.0000001,0.21860019173359535
1100,e7,n13,DTBPF Pd G3 38,BTTP 28,230.0,1043.0000001,0.22051773727511814
1096,e7,n13,DTBPF Pd G3 38,DBU 24,226.0,1043.0000001,0.2166826461920726
1097,e7,n13,DTBPF Pd G3 38,MTBD 25,226.0,1043.0000001,0.2166826461920726
1101,e7,n13,DTBPF Pd G3 38,P1-t-octyl S17,231.0,1043.0000001,0.2214765100458795
1103,e7,n13,DTBPF Pd G3 38,P2-t-Bu S18,241.0,1043.0000001,0.23106423775349336
1102,e7,n13,DTBPF Pd G3 38,P2Et 29,232.0,1043.0000001,0.2224352828166409
1083,e7,n13,RockPhos Pd G3 44,BEMP 27,228.0,1043.0000001,0.21860019173359535
1082,e7,n13,RockPhos Pd G3 44,BTMG 26,276.0,1043.0000001,0.26462128473014174
