,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
289,amine290,C(C1CCCCN1)N2CCCCC2,Ir,0.11,1761607.1
290,amine291,CCN(CC)CCN1CCNCC1,Ir,0.25,957992.9
291,amine292,COC(=O)C1CCNCC1,Ir,0.01,55320.2
292,amine293,CC(C)CN1CCNCC1,Ir,0.11,1308698.5
293,amine294,Fc1cccc2c3CNCCc3[nH]c12,Ir,0.54,1835788.3
294,amine295,C1CCC(NC1)c2ccccc2,Ir,0.02,43561.2
295,amine296,C1Cc2c([nH]c3ccccc23)C(N1)c4ccccc4,Ir,0.12,370594.3
296,amine297,C1CC(CCN1)c2cc(n[nH]2)c3occc3,Ir,0.5,1127456.3
297,amine298,C1CNCC(C1)c2ccccc2,Ir,1.4,3738938.0
298,amine299,O=C(N1CCNCC1)c2ccccc2,Ir,0.89,2751639.1
299,amine300,C1Cc2ccccc2C(N1)c3cccs3,Ir,0.12,454992.2
300,amine301,O=C1CCNCC1,Ir,0.13,1896611.6
301,amine302,CN(C)C(=O)N1CCNCC1,Ir,0.83,2548099.1
302,amine303,CCCCCCCN1CCNCC1,Ir,0.24,2183024.8
303,amine304,C(CN1CCNCC1)Cc2ccccc2,Ir,0.01,1809236.3
304,amine305,Cc1ccc(CN2CCNCC2)cc1,Ir,0.95,3214169.5
305,amine306,C1NCc2cccc3cccc1c23,Ir,0.01,0.0
306,amine307,C(CN1CCNCC1)C2CCCCC2,Ir,0.15,1800301.6
307,amine308,FC(F)(F)c1cccc(c1)S(=O)(=O)N(C2CC2)C3CCNCC3,Ir,0.18,3159727.0
308,amine309,NC(=O)C1(CCNCC1)N2CCCCC2,Ir,0.58,2600549.8
309,amine310,[R]C([R])N1CCNCC1,Ir,0.16,3302337.7
310,amine311,O=C(\C=C\c1ccccc1)N2CCNCC2,Ir,0.73,2993525.6
311,amine312,CS(=O)(=O)N1CCNCC1,Ir,0.34,987403.5
312,amine313,FC(F)(F)C1CCCNC1,Ir,0.81,3696879.1
313,amine314,C1CCC(NC1)c2ccccn2,Ir,0.1,295059.6
314,amine315,COCC1CCCCN1,Ir,0.05,630999.3
315,amine316,C1CCC(NC1)c2cc3ccccc3[nH]2,Ir,0.14,1168821.0
316,amine317,CC(C)(C)OC(=O)C1CCNCC1,Ir,0.05,803748.3
317,amine318,CN1CCN(CC1)C2CCNCC2,Ir,0.4,2028170.7
318,amine319,C1CN(CCN1)c2ncnc3ccsc23,Ir,1.21,2998518.3
319,amine320,CN1CCNC(C1)c2ccccc2,Ir,0.01,24080.5
320,amine321,O=C(CN1CCNCC1)NCCc2ccccc2,Ir,0.2,754768.0
321,amine322,O=C(N[C@H]1CCCNC1)OCc2ccccc2,Ir,1.42,3865817.0
322,amine323,C(C1CCCCN1)N2CCCC2,Ir,0.02,639789.7
323,amine324,CC(C)C[C@H]1CNCCN1C(=O)OC(C)(C)C,Ir,0.06,1855850.0
324,amine325,C1C[C@H]2CNCCN2C1,Ir,0.16,711911.1
325,amine326,O=C(N1CCCCC1)N2CCNCC2,Ir,0.73,2744771.9
326,amine327,O=S(=O)(N1CCNCC1)c2cccs2,Ir,0.33,1081232.2
327,amine328,CS(=O)(=O)c1ccc(cc1)C2CCNCC2,Ir,0.22,1008411.9
328,amine329,COC1CCNCC1,Ir,1.4,4316158.4
329,amine330,CC1CNCCN1C(=O)OCc2ccccc2,Ir,0.37,1408272.7
330,amine331,COC(=O)[C@@H]1CNCCN1C(=O)OC(C)(C)C,Ir,0.22,1487849.0
331,amine332,COC(=O)CC1CCNCC1,Ir,0.52,905445.4
332,amine333,O=C(NCCN1CCNCC1)OCc2ccccc2,Ir,0.02,21902.7
333,amine334,C1Cn2cccc2C(N1)c3cccs3,Ir,0.01,10166.4
334,amine335,Cn1cc(cn1)S(=O)(=O)N2CCNCC2,Ir,0.64,2224258.1
335,amine336,CC(C)(C)OC(=O)N1CCNC[C@@H]1Cc2c[nH]c3ccccc23,Ir,0.19,1362304.2
336,amine337,CN(C)S(=O)(=O)N1CCNCC1,Ir,0.54,1826078.9
337,amine338,O=S(=O)(N1CCCCC1)N2CCNCC2,Ir,0.69,1923336.6
338,amine339,CC(C)(C)C(=O)N1CCNCC1,Ir,1.06,4090378.3
339,amine340,CC(C)C(=O)N1CCNCC1,Ir,0.85,3802014.3
340,amine341,CCC(=O)N1CCNCC1,Ir,1.15,3795711.4
341,amine342,N#CC1CCNCC1,Ir,0.01,0.0
342,amine343,C(Cc1ccccc1)C2CCNCC2,Ir,0.82,2294233.4
343,amine344,Cc1ccc(CC2CCNCC2)cc1,Ir,0.86,3823504.6
344,amine345,C1CCC(NC1)c2nc3ccccc3s2,Ir,0.09,949999.6
345,amine346,C(C1CCCCN1)N2CCOCC2,Ir,0.02,54109.0
346,amine347,NC(=O)C1CCCCN1,Ir,0.32,984543.7
347,amine348,COC(=O)N1CCNCC1,Ir,0.79,2824289.1
348,amine349,Cc1cccnc1CC2CCCCN2,Ir,0.02,23116.6
349,amine350,COC(=O)[C@H]1Cc2ccccc2CN1,Ir,0.05,308383.0
350,amine351,C1Cn2c(CN1)ncc2c3ccccc3,Ir,0.81,1815623.9
351,amine352,CC1(C)CNCCN1,Ir,0.05,308984.0
352,amine353,CCN1CCNCC1=O,Ir,1.13,3479365.9
353,amine354,C(C1CN(Cc2ccccc2)CCN1)c3ccccc3,Ir,0.01,100407.6
354,amine355,C(C1CNCCN1)c2ccccc2,Ir,0.66,2002132.0
355,amine356,FC(F)(F)c1nnc2CNCCn12,Ir,0.14,2323798.0
356,amine357,C(OCc1ccccc1)[C@H]2CN(Cc3ccccc3)CCN2,Ir,0.0,3584.6
357,amine358,O=C(Nc1cccnc1)c2nnn(Cc3ccccc3)c2C4CCNCC4,Ir,0.66,2066436.5
358,amine359,C1CC(CCN1)c2ccccc2,Ir,2.3,4205695.2
359,amine360,[R]OC(=O)c1c2CCNCc2sc1NS(=O)(=O)[R],Ir,0.0,77226.0
