,electrophile_id,ligand_name,yield
397,s18,Cy-PhenCar-Phos,75.67
398,s18,Ph-XPhos,19.73
399,s18,VPhos,24.63
400,s18,Ph-DavePhos,29.82
401,s18,PPhtBu2,2.52
402,s18,P(p-Anis)3,30.27
403,s18,A-paPhos,20.03
404,s18,PXy3,18.25
405,s18,PMe3 HBF4,38.87
406,s18,CX-PCy,30.27
407,s18,CX-FBu,34.12
408,s18,PPh2Cy,60.24
409,s18,P(p-F-Ph)3,29.38
410,s18,PCy3 HBF4,9.94
411,s18,Cy-vBRIDP,40.8
412,s18,P(o-Anis)3,22.11
413,s18,PPh3,36.65
414,s19,Cy-JohnPhos,95.71618109023716
415,s19,Ph-SPhos,57.5205543578688
416,s19,Cy-BippyPhos,93.3667631659994
417,s19,MeO-KITPHOS,68.85262704034494
418,s19,MePhos,70.20319063751154
419,s19,Kwong,77.75790575916231
420,s19,Cy-PhenCar-Phos,98.54392362180474
421,s19,Ph-XPhos,40.6314752078842
422,s19,VPhos,44.33145672928858
423,s19,Ph-DavePhos,60.01769017554667
424,s19,PPhtBu2,24.19961810902372
425,s19,P(p-Anis)3,36.17883584847552
426,s19,A-paPhos,39.773304588851246
427,s19,PXy3,36.28434862950416
428,s19,PMe3 HBF4,63.08459501077919
429,s19,CX-PCy,88.23180782260549
430,s19,CX-FBu,39.5130397289806
431,s19,PPh2Cy,48.53086541422852
432,s19,P(p-F-Ph)3,84.6725100092393
433,s19,PCy3 HBF4,32.72505081613798
434,s19,Cy-vBRIDP,47.33505389590391
435,s19,P(o-Anis)3,61.410458885124726
436,s19,PPh3,50.46526639975362
437,s20,Cy-JohnPhos,52.32
438,s20,Ph-SPhos,37.68
439,s20,Cy-BippyPhos,48.03
440,s20,MeO-KITPHOS,41.88
441,s20,MePhos,49.81
442,s20,Kwong,51.39
443,s20,Cy-PhenCar-Phos,44.58
444,s20,Ph-XPhos,33.86
445,s20,VPhos,42.72
446,s20,Ph-DavePhos,53.35
447,s20,PPhtBu2,29.29
448,s20,P(p-Anis)3,70.14
449,s20,A-paPhos,64.08
450,s20,PXy3,56.71
451,s20,PMe3 HBF4,22.94
452,s20,CX-PCy,50.09
453,s20,CX-FBu,15.39
454,s20,PPh2Cy,65.85
455,s20,P(p-F-Ph)3,70.51
456,s20,PCy3 HBF4,23.88
457,s20,Cy-vBRIDP,53.07
458,s20,P(o-Anis)3,56.61
459,s20,PPh3,73.87
460,s21,Cy-JohnPhos,51.12
461,s21,Ph-SPhos,49.97
462,s21,Cy-BippyPhos,42.66
463,s21,MeO-KITPHOS,59.32
464,s21,MePhos,42.92
465,s21,Kwong,45.35
466,s21,Cy-PhenCar-Phos,53.3
467,s21,Ph-XPhos,25.37
468,s21,VPhos,31.65
469,s21,Ph-DavePhos,66.11
470,s21,PPhtBu2,1.67
471,s21,P(p-Anis)3,50.99
472,s21,A-paPhos,25.11
473,s21,PXy3,12.04
474,s21,PMe3 HBF4,68.29
475,s21,CX-PCy,32.03
476,s21,CX-FBu,36.64
477,s21,PPh2Cy,84.17
478,s21,P(p-F-Ph)3,42.92
479,s21,PCy3 HBF4,19.09
480,s21,Cy-vBRIDP,33.95
481,s21,P(o-Anis)3,23.83
482,s21,PPh3,29.34
483,s22,Cy-JohnPhos,100.0
484,s22,Ph-SPhos,60.34
485,s22,Cy-BippyPhos,95.19
486,s22,MeO-KITPHOS,76.76
487,s22,MePhos,63.45
488,s22,Kwong,81.89
489,s22,Cy-PhenCar-Phos,82.93
490,s22,Ph-XPhos,34.7
491,s22,VPhos,42.03
492,s22,Ph-DavePhos,67.09
493,s22,PPhtBu2,19.39
494,s22,P(p-Anis)3,30.69
495,s22,A-paPhos,33.69
496,s22,PXy3,32.08
497,s22,PMe3 HBF4,38.58
498,s22,CX-PCy,88.24
499,s22,CX-FBu,38.52
500,s22,PPh2Cy,37.54
501,s22,P(p-F-Ph)3,85.78
502,s22,PCy3 HBF4,30.04
503,s22,Cy-vBRIDP,51.62
504,s22,P(o-Anis)3,57.07
505,s22,PPh3,54.09
506,s23,Cy-JohnPhos,53.65
507,s23,Ph-SPhos,49.18
508,s23,Cy-BippyPhos,58.91
509,s23,MeO-KITPHOS,33.52
510,s23,MePhos,46.77
511,s23,Kwong,37.45
512,s23,Cy-PhenCar-Phos,33.85
513,s23,Ph-XPhos,41.7
514,s23,VPhos,40.51
515,s23,Ph-DavePhos,46.43
516,s23,PPhtBu2,6.43
517,s23,P(p-Anis)3,57.61
518,s23,A-paPhos,58.2
519,s23,PXy3,66.4
520,s23,PMe3 HBF4,43.42
521,s23,CX-PCy,42.12
522,s23,CX-FBu,35.06
523,s23,PPh2Cy,58.02
524,s23,P(p-F-Ph)3,59.43
525,s23,PCy3 HBF4,19.05
526,s23,Cy-vBRIDP,59.22
527,s23,P(o-Anis)3,47.76
