,substrate_id,substrate_smiles,condition,Normalized MALDI Pdt/IS,EIC(+)[M+H] Product Area
139,bromide140,Brc1ccc2NC(=O)CCCc2c1,Cu,0.3,3017011.9
140,bromide141,[O-][N+](=O)c1cc(Br)cc2cc[nH]c12,Cu,0.19,2381672.8
141,bromide142,Brc1ccc2NC(=O)NC(=O)c2c1,Cu,0.37,605913.1
142,bromide143,Oc1oc(nn1)c2ccc(Br)cc2,Cu,0.04,44382.0
143,bromide144,Brc1ccc2NC(=O)CSc2c1,Cu,0.29,2430325.3
144,bromide145,Brc1ccc2[nH]c3ccccc3c2c1,Cu,0.72,3624558.3
145,bromide146,Brc1ccc2oc3ccccc3c2c1,Cu,0.43,3949174.5
146,bromide147,Brc1ccc2c(OCc3nnnn23)c1,Cu,0.04,224695.7
147,bromide148,CCOC(=O)\C=C\c1ccc2cc(Br)ccc2n1,Cu,1.08,2155834.0
148,bromide149,[O-][N+](=O)c1ccc(Br)cc1NCc2ccccc2,Cu,0.01,1256245.8
149,bromide150,CC(=O)N1CCC[C@H]1c2nc3ccc(Br)cc3[nH]2,Cu,0.01,132079.1
150,bromide151,CC(=O)N1CCCc2c(C1)n(C)c3ccc(Br)cc23,Cu,0.72,3843119.6
151,bromide152,CC(C)Oc1ccnc(Nc2cc(C)cc(Br)c2)n1,Cu,0.25,1354179.0
152,bromide153,CCOC(=O)c1n[nH]c2c1COc3c(Br)cccc23,Cu,0.05,222021.6
153,bromide154,COC(=O)c1c2cc(Br)ccc2nn1Cc3ccccc3,Cu,0.43,2493479.9
154,bromide155,CC(C)[Si](C(C)C)(C(C)C)n1ccc2c(Br)cccc12,Cu,0.01,5400.8
155,bromide156,COC(=O)c1cc(ccc1Br)C(=O)Nc2cc(ccn2)C(F)(F)F,Cu,0.43,2488440.7
156,bromide157,CSc1ncc(Br)c(CN2[C@@H](C)[C@H](OC2=O)c3cc(cc(c3)C(F)(F)F)C(F)(F)F)n1,Cu,0.02,479764.2
157,bromide158,C[C@H]1c2ccccc2[C@@H]3C[C@H](CCN3c4ccc(Br)cc14)NC(=O)c5snnc5C,Cu,0.06,2343182.2
158,bromide159,C[C@H]1C[C@]2(N)[C@@H]([C@@H](C)OC2=O)[C@@H](\C=C\c3ccc(Br)cn3)[C@@H]1C,Cu,0.02,58865.0
