,electrophile_id,ligand_name,yield
333,s15,Ph-DavePhos,48.09
334,s15,Ph-SPhos,38.13
335,s15,Ph-XPhos,21.33
336,s15,PMe3 HBF4,16.97
337,s15,P(o-Anis)3,52.45
338,s15,P(p-Anis)3,68.63
339,s15,P(p-F-Ph)3,61.16
340,s15,PPh2Cy,69.26
341,s15,PPh3,63.65
342,s15,PPhtBu2,16.97
343,s15,PXy3,67.39
344,s15,VPhos,23.82
345,s16,Cy-JohnPhos,30.96
346,s16,Ph-SPhos,31.63
347,s16,Cy-BippyPhos,21.23
348,s16,MeO-KITPHOS,28.75
349,s16,MePhos,33.6
350,s16,Kwong,23.57
351,s16,Cy-PhenCar-Phos,24.54
352,s16,Ph-XPhos,23.23
353,s16,VPhos,21.32
354,s16,Ph-DavePhos,36.34
355,s16,PPhtBu2,21.57
356,s16,P(p-Anis)3,61.45
357,s16,A-paPhos,58.98
358,s16,PXy3,59.97
359,s16,PMe3 HBF4,44.81
360,s16,CX-PCy,39.26
361,s16,CX-FBu,39.19
362,s16,PPh2Cy,53.05
363,s16,P(p-F-Ph)3,25.89
364,s16,PCy3 HBF4,19.71
365,s16,Cy-vBRIDP,27.32
366,s16,P(o-Anis)3,41.44
367,s16,PPh3,49.05
368,s17,Cy-JohnPhos,87.16353978
369,s17,Ph-SPhos,83.7444036
370,s17,Cy-BippyPhos,71.98238073
371,s17,MeO-KITPHOS,94.40576803
372,s17,MePhos,76.39481089
373,s17,Kwong,54.96057307
374,s17,Cy-PhenCar-Phos,40.16896174
375,s17,Ph-XPhos,51.7982759
376,s17,VPhos,40.78795513
377,s17,Ph-DavePhos,70.67606565
378,s17,PPhtBu2,48.99236465
379,s17,P(p-Anis)3,96.74581606
380,s17,A-paPhos,92.78128928
381,s17,PXy3,90.60885484
382,s17,PMe3 HBF4,64.53075477
383,s17,CX-PCy,63.91672217
384,s17,CX-FBu,59.50438115
385,s17,PPh2Cy,73.73904989
386,s17,P(p-F-Ph)3,94.75405298
387,s17,PCy3 HBF4,35.72973607
388,s17,Cy-vBRIDP,57.17092587
389,s17,P(o-Anis)3,59.48417523
390,s17,PPh3,71.97193317
391,s18,Cy-JohnPhos,95.25
392,s18,Ph-SPhos,43.77
393,s18,Cy-BippyPhos,56.83
394,s18,MeO-KITPHOS,77.15
395,s18,MePhos,72.26
396,s18,Kwong,46.29
397,s18,Cy-PhenCar-Phos,75.07
398,s18,Ph-XPhos,32.94
399,s18,VPhos,62.02
400,s18,Ph-DavePhos,27.3
401,s18,PPhtBu2,1.48
402,s18,P(p-Anis)3,53.71
403,s18,A-paPhos,38.13
404,s18,PXy3,39.17
405,s18,PMe3 HBF4,10.68
406,s18,CX-PCy,69.88
407,s18,CX-FBu,23.29
408,s18,PPh2Cy,76.85
409,s18,P(p-F-Ph)3,61.72
410,s18,PCy3 HBF4,5.19
411,s18,Cy-vBRIDP,82.64
412,s18,P(o-Anis)3,7.12
413,s18,PPh3,46.59
414,s19,Cy-JohnPhos,100.0
415,s19,Ph-SPhos,64.82907299045272
416,s19,Cy-BippyPhos,61.8325100092393
417,s19,MeO-KITPHOS,53.729128426239605
418,s19,MePhos,40.93394518016631
419,s19,Kwong,43.27632891900216
420,s19,Cy-PhenCar-Phos,71.13170311056359
421,s19,Ph-XPhos,32.232657838004314
422,s19,VPhos,23.074148444718205
423,s19,Ph-DavePhos,55.19927317523868
424,s19,PPhtBu2,16.975509701262702
425,s19,P(p-Anis)3,50.577813366184174
426,s19,A-paPhos,70.73778872805667
427,s19,PXy3,36.833015090853095
428,s19,PMe3 HBF4,33.39329842931937
429,s19,CX-PCy,68.74711425931629
430,s19,CX-FBu,31.409658145980902
431,s19,PPh2Cy,53.30004311672313
432,s19,P(p-F-Ph)3,70.40014782876503
433,s19,PCy3 HBF4,8.64
434,s19,Cy-vBRIDP,37.81780104712042
435,s19,P(o-Anis)3,60.40457037265168
436,s19,PPh3,55.90269171542963
437,s20,Cy-JohnPhos,69.11
438,s20,Ph-SPhos,43.46
439,s20,Cy-BippyPhos,38.05
440,s20,MeO-KITPHOS,49.71
441,s20,MePhos,51.39
442,s20,Kwong,44.21
443,s20,Cy-PhenCar-Phos,51.67
444,s20,Ph-XPhos,32.36
445,s20,VPhos,43.84
446,s20,Ph-DavePhos,43.56
447,s20,PPhtBu2,28.17
448,s20,P(p-Anis)3,64.54
449,s20,A-paPhos,36.65
450,s20,PXy3,63.8
451,s20,PMe3 HBF4,47.75
452,s20,CX-PCy,62.21
453,s20,CX-FBu,15.95
454,s20,PPh2Cy,52.42
455,s20,P(p-F-Ph)3,49.9
456,s20,PCy3 HBF4,22.01
457,s20,Cy-vBRIDP,61.84
458,s20,P(o-Anis)3,55.22
459,s20,PPh3,68.83
460,s21,Cy-JohnPhos,68.03
461,s21,Ph-SPhos,44.07
462,s21,Cy-BippyPhos,32.29
463,s21,MeO-KITPHOS,67.65
464,s21,MePhos,51.38
465,s21,Kwong,41.89
466,s21,Cy-PhenCar-Phos,51.89
467,s21,Ph-XPhos,44.71
468,s21,VPhos,86.48
469,s21,Ph-DavePhos,57.27
470,s21,PPhtBu2,1.79
471,s21,P(p-Anis)3,68.8
472,s21,A-paPhos,41.13
473,s21,PXy3,16.14
474,s21,PMe3 HBF4,24.21
475,s21,CX-PCy,10.38
476,s21,CX-FBu,35.75
477,s21,PPh2Cy,77.51
478,s21,P(p-F-Ph)3,44.07
479,s21,PCy3 HBF4,3.97
480,s21,Cy-vBRIDP,47.66
481,s21,P(o-Anis)3,23.32
482,s21,PPh3,58.81
483,s22,Cy-JohnPhos,70.74
484,s22,Ph-SPhos,56.06
485,s22,Cy-BippyPhos,47.77
486,s22,MeO-KITPHOS,46.14
487,s22,MePhos,42.37
488,s22,Kwong,34.29
489,s22,Cy-PhenCar-Phos,63.48
490,s22,Ph-XPhos,37.01
491,s22,VPhos,24.86
492,s22,Ph-DavePhos,62.32
493,s22,PPhtBu2,19.83
494,s22,P(p-Anis)3,59.44
495,s22,A-paPhos,64.84
496,s22,PXy3,12.86
497,s22,PMe3 HBF4,50.63
498,s22,CX-PCy,65.1
499,s22,CX-FBu,25.08
500,s22,PPh2Cy,40.74
501,s22,P(p-F-Ph)3,78.82
502,s22,PCy3 HBF4,7.41
503,s22,Cy-vBRIDP,42.4
504,s22,P(o-Anis)3,48.34
505,s22,PPh3,73.24
506,s23,Cy-JohnPhos,49.21
507,s23,Ph-SPhos,38.09
508,s23,Cy-BippyPhos,35.79
509,s23,MeO-KITPHOS,48.64
510,s23,MePhos,43.9
511,s23,Kwong,23.33
512,s23,Cy-PhenCar-Phos,42.3
513,s23,Ph-XPhos,27.76
514,s23,VPhos,21.19
515,s23,Ph-DavePhos,41.03
516,s23,PPhtBu2,4.1
517,s23,P(p-Anis)3,43.33
