ligand,id,can_smiles,smiles,formula,mw,atomcount,merckid,cas_pr3,cas_pr3_hx,cas_conj_acid,SIGMA STRUCTURE_ID,SIGMA CAT_NO,Fey-LKB (Paper)
PNEt2_Benzodioxaphosphepine,640.0,CCN(CC)P1OCc2ccccc2CO1,P1(OCc2c(cccc2)CO1)N(CC)CC,C12H18NO2P,239.0,34.0,,82372-35-8,,,27928349,393835,
28434219,641.0,CCN(CC)P1Oc2c(cc(C)cc2C(C)(C)C)Cc2cc(C)cc(C(C)(C)C)c2O1,P1(Oc2c(cc(cc2C(C)(C)C)C)Cc3c(c(cc(c3)C)C(C)(C)C)O1)N(CC)CC,C27H40NO2P,442.0,71.0,,114906-38-6,,,28434219,,
P(OEt)2NH(3-F-Ph),642.0,CCOP(Nc1cccc(F)c1)OCC,Fc1cc(ccc1)NP(OCC)OCC,C10H15FNO2P,231.0,30.0,,292854-87-6,,,28457949,,
P(morpholine)3,643.0,C1CN(P(N2CCOCC2)N2CCOCC2)CCO1,P(N3CCOCC3)(N2CCOCC2)N1CCOCC1,C12H24N3O3P,289.0,43.0,,5815-61-2,,,28506201,,LKB296
"POPh_5,5-dimethyldioxaphosphinane",644.0,CC1(C)COP(Oc2ccccc2)OC1,P2(OCC(CO2)(C)C)Oc1ccccc1,C11H15O3P,226.0,30.0,,3057-08-7,,,28506877,,
P(N(nPr)2)3,645.0,CCCN(CCC)P(N(CCC)CCC)N(CCC)CCC,P(N(CCC)CCC)(N(CCC)CCC)N(CCC)CCC,C18H42N3P,332.0,64.0,,5848-64-6,,,28512529,,
P(OisoBu)3,646.0,CC(C)COP(OCC(C)C)OCC(C)C,P(OCC(C)C)(OCC(C)C)OCC(C)C,C12H27O3P,250.0,43.0,,1606-96-8,,,28799032,,LKB224
P(OtBu)2N(Et)2,647.0,CCN(CC)P(OC(C)(C)C)OC(C)(C)C,P(N(CC)CC)(OC(C)(C)C)OC(C)(C)C,C12H28NO2P,249.0,44.0,,117924-33-1,,,28803847,,
P(OtBu)2N(iPr)2,648.0,CC(C)N(C(C)C)P(OC(C)(C)C)OC(C)(C)C,P(N(C(C)C)C(C)C)(OC(C)(C)C)OC(C)(C)C,C14H32NO2P,277.0,50.0,,137348-86-8,,,28803848,,
P(OCH2CH2CN)(N(iPr)2)2,649.0,CC(C)N(C(C)C)P(OCCC#N)N(C(C)C)C(C)C,P(N(C(C)C)C(C)C)(N(C(C)C)C(C)C)OCCC#N,C15H32N3OP,301.0,52.0,,102691-36-1,,,28803981,,
