ligand,id,can_smiles,smiles,formula,mw,atomcount,merckid,cas_pr3,cas_pr3_hx,cas_conj_acid,SIGMA STRUCTURE_ID,SIGMA CAT_NO,Fey-LKB (Paper)
PONH(trans-4-OMe-Cy) 5-methyl-5-NO2-dioxaphosphinane,699.0,CO[C@H]1CC[C@H](NOP2OCC(C)([N+](=O)[O-])CO2)CC1,O=[N+]([O-])C1(C)COP(ON[C@H]2CC[C@H](OC)CC2)OC1,C11H21N2O6P,308.0,41.0,,not on scifinder,,,161464795,,
P(OEt)2O(2-Cl-Ph),700.0,CCOP(OCC)Oc1ccccc1Cl,P(OCC)(OCC)Oc1c(cccc1)Cl,C10H14ClO3P,249.0,29.0,,not on scifinder,,,161470661,,
P(OEt)2O(4-OMe-Ph),701.0,CCOP(OCC)Oc1ccc(OC)cc1,P(OCC)(OCC)Oc1ccc(cc1)OC,C11H17O4P,244.0,33.0,,72305-19-2,,,161471785,,
P(OEt)(O-4-NO2-Ph)(NHCOSMe),702.0,CCOP(NC(=O)SC)Oc1ccc([N+](=O)[O-])cc1,P(NC(=O)SC)(OCC)Oc1ccc(cc1)[N+](=O)[O-],C10H13N2O5PS,304.0,32.0,,not on scifinder,,,161481246,,
PO(CH2CH2Cl) Catecholate,703.0,ClCCOP1Oc2ccccc2O1,P1(Oc2c(cccc2)O1)OCCCl,C8H8ClO3P,219.0,21.0,,62516-48-7,,,161481316,,
P(OEt)(OPh)2,704.0,CCOP(Oc1ccccc1)Oc1ccccc1,P(OCC)(Oc2ccccc2)Oc1ccccc1,C14H15O3P,262.0,33.0,,2161-16-2,,,161484107,,
POMe cis 4-nPr-5-Et-dioxaphosphinane,705.0,CCC[C@H]1OP(OC)OC[C@H]1CC,CC[C@H]1[C@@H](CCC)OP(OC)OC1,C9H19O3P,206.0,32.0,,not on scifinder,,,161488079,,
P(OEt)2NHEt,706.0,CCNP(OCC)OCC,P(NCC)(OCC)OCC,C6H16NO2P,165.0,26.0,,21310-13-4,63638-61-9 (HCl),,161488126,,
P(OEt)2NH(4-Cl-Ph),707.0,CCOP(Nc1ccc(Cl)cc1)OCC,P(Nc1ccc(cc1)Cl)(OCC)OCC,C10H15ClNO2P,248.0,30.0,,55560-26-4,,,161488139,,
P(OMe)(OPh)(NEt2),708.0,CCN(CC)P(OC)Oc1ccccc1,P(N(CC)CC)(OC)Oc1ccccc1,C11H18NO2P,227.0,33.0,,not on scifinder,,,161489752,,
371406886,709.0,C1=Cc2ccccc2N(P2OC(c3ccccc3)(c3ccccc3)[C@@H]3CCCN32)c2ccccc21,P4(N5[C@H](C(O4)(c7ccccc7)c6ccccc6)CCC5)N1c2c(cccc2)C=Cc3c1cccc3,C31H27N2OP,475.0,62.0,,"1092695-17-4 (PS,S,abs), 1883696-00-1 (PR,S,abs),2106794-41-4 (PS,S,rel)",,,371406886,,
371406887,710.0,CC1(C)O[C@@H]2[C@@H](O1)C(c1ccccc1)(c1ccccc1)OP(N1c3ccccc3C=Cc3ccccc31)OC2(c1ccccc1)c1ccccc1,P4(OC([C@@H]7OC(O[C@H]7C(O4)(c9ccccc9)c8ccccc8)(C)C)(c6ccccc6)c5ccccc5)N1c2c(cccc2)C=Cc3c1cccc3,C45H38NO4P,688.0,89.0,,1092695-14-1,,,371406887,,
"Prac cis POMe_4,6-dimethyldioxaphosphinane",711.0,COP1O[C@@H](C)C[C@@H](C)O1,C[C@H]1C[C@@H](C)OP(OC)O1,C6H13O3P,164.0,23.0,,"7735-86-6 (SR rel), 7735-82-2 (RS rel), 41821-91-4 (no stereo)",,"72522-77-1, 72522-78-2, 69543-93-7 (no stereo)",,,
PONH(cis-4-OMe-Cy) 5-methyl-5-NO2-dioxaphosphinane,712.0,CO[C@H]1CC[C@@H](NOP2OCC(C)([N+](=O)[O-])CO2)CC1,O=[N+]([O-])C1(C)COP(ON[C@H]2CC[C@@H](OC)CC2)OC1,C11H21N2O6P,308.0,41.0,,not on scifinder,,,,,
"MeCgP(2,4-MeOPh)",713.0,COc1ccc(P2[C@@]3(C)C[C@@]4(C)O[C@]2(C)C[C@@](C)(O3)O4)c(OC)c1,C[C@]1(C2)O[C@@](C3)(C)O[C@]2(C)O[C@@]3(C)P1c4c(OC)cc(OC)cc4,C18H25O5P,352.0,49.0,ME290,796867-38-4,,,,,
PPh2 NBuPyrrol-2-yl,714.0,CCCCn1cccc1P(c1ccccc1)c1ccccc1,CCCCN1C=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,C20H22NP,307.0,44.0,,not on scifinder,,,,,
KitPhos,715.0,c1ccc(C2=C(P(C3CCCCC3)C3CCCCC3)C3c4ccccc4C2c2ccccc23)cc1,c1ccc(cc1)C2=C(C3c4ccccc4C2c5c3cccc5)P(C6CCCCC6)C7CCCCC7,C34H37P,477.0,72.0,ME277,1166994-77-9,,,,,LKB60
ArPyPhos,716.0,c1ccc(-c2cc(-c3ccccc3)c(-c3cccc(P(c4ccccc4)c4ccccc4)n3)c(-c3ccccc3)c2)cc1,c1ccc(cc1)c2cc(c(c(c2)c3ccccc3)c4cccc(n4)P(c5ccccc5)c6ccccc6)c7ccccc7,C41H30NP,568.0,73.0,ME306,919091-20-6,,,,,
cataCXium FBn,717.0,c1ccc(CC2(P(C3CCCCC3)C3CCCCC3)c3ccccc3-c3ccccc32)cc1,c1ccc(cc1)CC2(c3ccccc3-c4c2cccc4)P(C5CCCCC5)C6CCCCC6,C32H37P,453.0,70.0,ME281,937378-17-1 (had the HBF4 CAS before),937378-18-2 (HBF4),,,,LKB184
cataCXium FPrPh,718.0,c1ccc(CCCC2(P(C3CCCCC3)C3CCCCC3)c3ccccc3-c3ccccc32)cc1,c1ccc(cc1)CCCC2(c3ccccc3-c4c2cccc4)P(C5CCCCC5)C6CCCCC6,C34H41P,481.0,76.0,ME280,1007311-94-5 (had the HBF4 CAS before),1007311-95-6 (HBF4),,,,
PhP(4-PhC10H4F17)2,719.0,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1ccc(P(c2ccccc2)c2ccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc2)cc1,c1ccc(cc1)P(c2ccc(cc2)CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)c3ccc(cc3)CCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,C38H21F34P,1154.0,94.0,ME207,892154-91-5,,,,,
Ph2P(2-PhCN),720.0,N#Cc1ccccc1P(c1ccccc1)c1ccccc1,c1ccc(cc1)P(c2ccccc2)c3ccccc3C#N,C19H14NP,287.0,35.0,ME197,34825-99-5,,,,,
Ph-PhenCarPhos,721.0,c1ccc(P(c2ccccc2)c2ccccc2-n2c3ccccc3c3ccccc32)cc1,c1ccc(cc1)P(c2ccccc2)c3ccccc3n4c5ccccc5c6c4cccc6,C30H22NP,427.0,54.0,ME300,1308652-67-6,,,,,
cataCXium Kcy,722.0,c1ccc(N(c2ccccn2)P(C2CCCCC2)C2CCCCC2)nc1,c1ccnc(c1)N(c2ccccn2)P(C3CCCCC3)C4CCCCC4,C22H30N3P,367.0,56.0,ME292,472959-98-1,,,,,LKB325
rac-BI-DIME,723.0,COc1cccc(OC)c1-c1cccc2c1P(C(C)(C)C)CO2,CC(C)(C)P1COc2c1c(ccc2)c3c(cccc3OC)OC,C19H23O3P,330.0,46.0,ME038,"1246888-90-3 (no stereo), 1373432-09-7 (S), 1334854-03-7 (R),",,,,,
rac-AntPhos,724.0,CC(C)(C)P1COc2cccc(-c3c4ccccc4cc4ccccc34)c21,CC(C)(C)P1COc2c1c(ccc2)c3c4ccccc4cc5c3cccc5,C25H23OP,370.0,50.0,ME037,"1268693-24-8 (no stereo), 1456816-37-7 (R), 1807740-34-6 (S)",,,,,
GorlosPhos,725.0,CC(C)Oc1cccc(OC(C)C)c1P(C1CCCCC1)C1CCCCC1,CC(C)Oc1cccc(c1P(C2CCCCC2)C3CCCCC3)OC(C)C,C24H39O2P,391.0,66.0,ME095,1268824-69-6 (had the HBF4 CAS before),1268824-70-9 (HBF4),,,,
1-iPr2P-2-Me2N-indene,726.0,CC(C)P(C(C)C)C1C(N(C)C)=Cc2ccccc21,CC(C)P(C1c2ccccc2C=C1N(C)C)C(C)C,C17H26NP,275.0,45.0,ME291,540492-51-1,,,,,
cataCXium FBu,727.0,CCCCC1(P(C2CCCCC2)C2CCCCC2)c2ccccc2-c2ccccc21,CCCCC1(c2ccccc2-c3c1cccc3)P(C4CCCCC4)C5CCCCC5,C29H39P,419.0,69.0,ME279,1007311-97-8 (had the HBF4 CAS before),1007311-98-9,,,,
Ph2P(CH2)3Si(OEt)3,728.0,CCO[Si](CCCP(c1ccccc1)c1ccccc1)(OCC)OCC,CCO[Si](OCC)(OCC)CCCP(c1ccccc1)c2ccccc2,C21H31O3PSi,391.0,57.0,ME318,52090-23-0,,158919-17-6,,,
Et-PhenCarPhos,729.0,CCP(CC)c1ccccc1-n1c2ccccc2c2ccccc21,CCP(CC)c1ccccc1n2c3ccccc3c4c2cccc4,C22H22NP,331.0,46.0,ME045,1308652-66-5,,,,,
1-Ph2P-2-Me2N-indene,730.0,CN(C)C1=Cc2ccccc2C1P(c1ccccc1)c1ccccc1,CN(C)C1=Cc2ccccc2C1P(c3ccccc3)c4ccccc4,C23H22NP,343.0,47.0,ME305,628323-64-8,,,,,
1-Cy2P-4'-Me2N-Ph2,731.0,CN(C)c1ccc(-c2ccccc2P(C2CCCCC2)C2CCCCC2)cc1,CN(C)c1ccc(cc1)c2ccccc2P(C3CCCCC3)C4CCCCC4,C26H36NP,394.0,64.0,ME041,1185899-00-6,,,,,
Ph-CPhos,732.0,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)c1ccccc1,CN(C)c1cccc(c1c2ccccc2P(c3ccccc3)c4ccccc4)N(C)C,C28H29N2P,425.0,60.0,ME298,1447963-71-4,,,,,
ZhedaPhos,733.0,COc1cccc(N(C)c2ccccc2)c1P(C1CCCCC1)C1CCCCC1,CN(c1ccccc1)c2cccc(c2P(C3CCCCC3)C4CCCCC4)OC,C26H36NOP,410.0,65.0,ME287,1398565-95-1,,,,,
PPh2-Andole-Phos,734.0,COc1ccccc1-c1c(P(c2ccccc2)c2ccccc2)c2ccccc2n1C,Cn1c2ccccc2c(c1c3ccccc3OC)P(c4ccccc4)c5ccccc5,C28H24NOP,421.0,55.0,ME299,1242759-01-8,,,,,
(MeO2CCH2CH2)3P,735.0,COC(=O)CCP(CCC(=O)OC)CCC(=O)OC,COC(=O)CCP(CCC(=O)OC)CCC(=O)OC,C12H21O6P,292.0,40.0,ME079,29269-17-8,1304513-50-5 (HCl),,,,
LB-Phos,736.0,COc1cc(OC)c(P(C2CCCCC2)C2CCCCC2)c(OC)c1,COc1cc(c(c(c1)OC)P(C2CCCCC2)C3CCCCC3)OC,C21H33O3P,364.0,58.0,ME094,1217887-08-5 (had the HBF4 CAS before),1217887-12-1 (HBF4),,,,
cataCXium KPh,737.0,c1ccc(P(c2ccccc2)N(c2ccccn2)c2ccccn2)cc1,n1ccccc1N(P(c2ccccc2)c3ccccc3)c4ncccc4,C22H18N3P,355.0,44.0,ME304,472959-76-5,,,,,LKB326
(2-Pyr)3P,738.0,c1ccc(P(c2ccccn2)c2ccccn2)nc1,n1ccccc1P(c2ccccn2)c3ccccn3,C15H12N3P,265.0,31.0,ME133,26437-48-9,,,,,
"(HOCH2)3P
",739.0,OCP(CO)CO,OCP(CO)CO,C3H9O3P,124.0,16.0,ME075,2767-80-8,55953-80-5 (HCl),,,,
Et-CPhos,740.0,CCP(CC)c1ccccc1-c1c(N(C)C)cccc1N(C)C,CCP(CC)c1ccccc1c2c(N(C)C)cccc2N(C)C,C20H29N2P,328.0,52.0,ME036,1623003-10-0,1623003-11-1 (HBF4),,,,
PtBu2Hex,741.0,CCCCCCP(C(C)(C)C)C(C)(C)C,CC(C)(C)P(C(C)(C)C)CCCCCC,C14H31P,230.0,46.0,ME295,not on scifinder,,,,,
DMTPBN,742.0,CC1=C(c2ccccc2)P2CC1(C)C(c1ccccc1)=C2c1ccccc1,CC1=C(C2=CC=CC=C2)P(C3)C(C4=CC=CC=C4)=C(C5=CC=CC=C5)C13C,C26H23P,366.0,50.0,,79032-37-4,,,,,
NDPBIPP,743.0,c1ccc(cc1)C1=CC(=PC2=C1[C@@H](c1ccccc1)c1c2ccc2c1cccc2)c1ccc2c(c1)cccc2,C1(C2=CC=C(C=CC=C3)C3=C2[C@@H]4C5=CC=CC=C5)=C4C(C6=CC=CC=C6)=CC(C7=CC(C=CC=C8)=C8C=C7)=P1,C38H25P,513.0,64.0,,362591-52-4 (no stereo),,,,,
2MPDPP,744.0,COc1ccccc1-c1cc(-c2ccccc2)cc(-c2ccccc2)p1,COC1=CC=CC=C1C2=PC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=C2,C24H19OP,354.0,45.0,,362591-55-7,,,,,
BDMPP,745.0,Cc1ccc(-c2cc(-c3ccccc3)cc(-c3ccc(C)cc3C)p2)c(C)c1,CC(C=C(C)C=C1)=C1C2=CC(C3=CC=CC=C3)=CC(C4=CC=C(C)C=C4C)=P2,C27H25P,380.0,53.0,,293309-69-0,,,,,
BTFMPTFM,746.0,FC(F)(F)c1ccc(-c2cc(-c3ccccc3)pc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)c2)cc1,FC(C(C=C1)=CC=C1C2=CC(C3=CC(C(F)(F)F)=CC(C(F)(F)F)=C3)=PC(C4=CC=CC=C4)=C2)(F)F,C26H14F9P,528.0,50.0,,362591-54-6,,,,,
DIPP,747.0,CC(C)c1cc(-c2ccccc2)cc(C(C)C)p1,CC(C)C1=CC(C2=CC=CC=C2)=CC(C(C)C)=P1,C17H21P,256.0,39.0,,362591-51-3,,,,,
DNPP,748.0,c1ccc(-c2cc(-c3ccc4ccccc4c3)pc(-c3ccc4ccccc4c3)c2)cc1,C1(C2=CC=C(C=CC=C3)C3=C2)=CC(C4=CC=CC=C4)=CC(C5=CC(C=CC=C6)=C6C=C5)=P1,C31H21P,424.0,53.0,,293733-42-3,,,,,
DPP,749.0,Cc1cc(-c2ccccc2)cc(C)p1,CC1=PC(C)=CC(C2=CC=CC=C2)=C1,C13H13P,200.0,27.0,,22208-82-8,,,,,
DPTFMPP,750.0,FC(F)(F)c1ccc(-c2cc(-c3ccccc3)pc(-c3ccccc3)c2)cc1,FC(C(C=C1)=CC=C1C2=CC(C3=CC=CC=C3)=PC(C4=CC=CC=C4)=C2)(F)F,C24H16F3P,392.0,44.0,,78336-66-0,,,,,
MPDPP,751.0,COc1cccc(-c2cc(-c3ccccc3)cc(-c3ccccc3)p2)c1,COC1=CC=CC(C2=PC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=C2)=C1,C24H19OP,354.0,45.0,,362591-56-8,,,,,
NDPP,752.0,c1ccc(-c2cc(-c3ccccc3)pc(-c3ccc4ccccc4c3)c2)cc1,C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC(C=CC=C5)=C5C=C4)=P1,C27H19P,374.0,47.0,,362591-50-2,,,,,
TPP,753.0,c1ccc(-c2cc(-c3ccccc3)pc(-c3ccccc3)c2)cc1,C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=CC(C4=CC=CC=C4)=P1,C23H17P,324.0,41.0,,13497-36-4,,,,,
2MDPP,754.0,Cc1cc(-c2ccccc2)cc(-c2ccccc2)p1,CC1=PC(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=C1,C18H15P,262.0,34.0,,17154-49-3,,,,,
4MPDPP,755.0,COc1ccc(-c2cc(-c3ccccc3)pc(-c3ccccc3)c2)cc1,COC(C=C1)=CC=C1C2=CC(C3=CC=CC=C3)=PC(C4=CC=CC=C4)=C2,C24H19OP,354.0,45.0,,14561-13-8,,,,,
"PPh(3,5-Me2Ph)2",756.0,Cc1cc(C)cc(P(c2ccccc2)c2cc(C)cc(C)c2)c1,Cc1cc(P(c2cc(C)cc(C)c2)c3ccccc3)cc(C)c1,C22H23P,318.0,46.0,,182616-53-1,,,,,
"PPh(3,5-(CF3)2Ph)2",757.0,FC(F)(F)c1cc(P(c2ccccc2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,FC(c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c3ccccc3)cc(C(F)(F)F)c1)(F)F,C22H11F12P,534.0,46.0,,874161-81-6,,,,,
"PPh(3,5-F2Ph)2",758.0,Fc1cc(F)cc(P(c2ccccc2)c2cc(F)cc(F)c2)c1,Fc1cc(P(c2cc(F)cc(F)c2)c3ccccc3)cc(F)c1,C18H11F4P,334.0,34.0,,1168156-13-5,,,,,
"PPh(3,5-OMe2Ph)2",759.0,COc1cc(OC)cc(P(c2ccccc2)c2cc(OC)cc(OC)c2)c1,COc1cc(P(c2cc(OC)cc(OC)c2)c3ccccc3)cc(OC)c1,C22H23O4P,382.0,50.0,,not on scifinder,,,,,
"PPh(3,5-tBu2-4-OMe-Ph)2",760.0,COc1c(C(C)(C)C)cc(P(c2ccccc2)c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)cc1C(C)(C)C,COc1c(C(C)(C)C)cc(P(c2cc(C(C)(C)C)c(OC)c(C(C)(C)C)c2)c3ccccc3)cc1C(C)(C)C,C36H51O2P,547.0,90.0,,not on scifinder,,,,,
"PPh(3,5-Me2-4-OMe-Ph)2",761.0,COc1c(C)cc(P(c2ccccc2)c2cc(C)c(OC)c(C)c2)cc1C,COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c3ccccc3)cc1C,C24H27O2P,378.0,54.0,,272115-42-1,,,,,
PPh(3-OMe2Ph)2,762.0,COc1cccc(P(c2ccccc2)c2cccc(OC)c2)c1,COc1cccc(P(c2cc(OC)ccc2)c3ccccc3)c1,C20H19O2P,322.0,42.0,,68899-65-0,,,,,
PPh(3-F2Ph)2,763.0,Fc1cccc(P(c2ccccc2)c2cccc(F)c2)c1,Fc1cccc(P(c2cc(F)ccc2)c3ccccc3)c1,C18H13F2P,298.0,34.0,,23588-20-7,,,,,
PPh(3-CF32Ph)2,764.0,FC(F)(F)c1cccc(P(c2ccccc2)c2cccc(C(F)(F)F)c2)c1,FC(c1cccc(P(c2cc(C(F)(F)F)ccc2)c3ccccc3)c1)(F)F,C20H13F6P,398.0,40.0,,747-86-4,,,,,
PPh(2-F2Ph)2,765.0,Fc1ccccc1P(c1ccccc1)c1ccccc1F,Fc1c(P(c2c(F)cccc2)c3ccccc3)cccc1,C18H13F2P,298.0,34.0,,79995-28-1,,,,,
PPh(2-CF32Ph)2,766.0,FC(F)(F)c1ccccc1P(c1ccccc1)c1ccccc1C(F)(F)F,FC(c1c(P(c2c(C(F)(F)F)cccc2)c3ccccc3)cccc1)(F)F,C20H13F6P,398.0,40.0,,25688-43-1,,,,,
PPh(4-F2Ph)2,767.0,Fc1ccc(P(c2ccccc2)c2ccc(F)cc2)cc1,Fc1ccc(P(c2ccc(F)cc2)c3ccccc3)cc1,C18H13F2P,298.0,34.0,,35035-59-7,,,,,
PPh(4-CF32Ph)2,768.0,FC(F)(F)c1ccc(P(c2ccccc2)c2ccc(C(F)(F)F)cc2)cc1,FC(c1ccc(P(c2ccc(C(F)(F)F)cc2)c3ccccc3)cc1)(F)F,C20H13F6P,398.0,40.0,,39134-71-9,,,,,
PPh(1Nap)2,769.0,c1ccc(P(c2cccc3ccccc23)c2cccc3ccccc23)cc1,C12=C(C=CC=C2)C(P(C3=CC=CC4=C3C=CC=C4)c5ccccc5)=CC=C1,C26H19P,362.0,46.0,,3135-67-9,,,,,
PPh(2Nap)2,770.0,c1ccc(P(c2ccc3ccccc3c2)c2ccc3ccccc3c2)cc1,C12=C(C=CC=C2)C=C(P(C3=CC(C=CC=C4)=C4C=C3)c5ccccc5)C=C1,C26H19P,362.0,46.0,,1686114-45-3,,,,,
PPhAd2,771.0,C1C2CC3CC1CC(C2)(C3)P(C12CC3CC(C2)CC(C1)C3)c1ccccc1,P(C1=CC=CC=C1)(C23C[C@H]4C[C@@H](C3)C[C@@H](C2)C4)C56C[C@H]7C[C@@H](C6)C[C@@H](C5)C7,C26H35P,379.0,62.0,,554432-00-7,,,,,
TMS Phosphorinane,772.0,C[Si](C)(C)P1CCCCC1,C[Si](C)(C)P1CCCCC1,C8H19PSi,174.0,29.0,,88471-60-7,,,,,
PCy2DMPS,773.0,C[Si](C)(c1ccccc1)P(C1CCCCC1)C1CCCCC1,C[Si](C)(C1=CC=CC=C1)P(C2CCCCC2)C3CCCCC3,C20H33PSi,333.0,55.0,,950922-31-3,,,,,
P(p-OMe-C6H4)t Bu2,774.0,COc1ccc(P(C(C)(C)C)C(C)(C)C)cc1,CC(P(C(C)(C)C)C1=CC=C(OC)C=C1)(C)C,C15H25OP,252.0,42.0,,1527485-25-1,2143022-23-3 (HBF4),,,,
P(p-Me-C6H4)t Bu2,775.0,Cc1ccc(P(C(C)(C)C)C(C)(C)C)cc1,CC(P(C(C)(C)C)C1=CC=C(C)C=C1)(C)C,C15H25P,236.0,41.0,,19966-91-7,2143022-24-4 (HBF4),,,,
P(p-Cl-C6H4)t Bu2,776.0,CC(C)(C)P(c1ccc(Cl)cc1)C(C)(C)C,CC(P(C(C)(C)C)C1=CC=C(Cl)C=C1)(C)C,C14H22ClP,257.0,38.0,,2143022-25-5,2143022-26-6 (HBF4),,,,
P(4OMePh)(4CF3Ph)2,777.0,COc1ccc(P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)cc1,COC(C=C1)=CC=C1P(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(C(F)(F)F)C=C3,C21H15F6OP,428.0,44.0,,919765-85-8,,,,,
2-(diphenylphosphaneyl)-1-phenyl-1H-pyrrole,778.0,c1ccc(-n2cccc2P(c2ccccc2)c2ccccc2)cc1,N1(C2=CC=CC=C2)C=CC=C1P(C3=CC=CC=C3)C4=CC=CC=C4,C22H18NP,327.0,42.0,,672937-59-6,,,,,
2-(diadamantan-1-yl)phosphaneyl)-1-phenyl-1H-pyrrole,779.0,c1ccc(cc1)n1cccc1P(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,N1(C2=CC=CC=C2)C=CC=C1P(C34C[C@H]5C[C@H](C[C@H](C5)C4)C3)C67C[C@H]8C[C@H](C[C@H](C8)C7)C6,C30H38NP,444.0,70.0,,672937-62-1,,,,,
2-(dicyclohexylphosphaneyl)-1-(naphthalen-1-yl)-1H-pyrrole,780.0,c1ccc2c(-n3cccc3P(C3CCCCC3)C3CCCCC3)cccc2c1,N1(C2=CC=CC3=C2C=CC=C3)C=CC=C1P(C4CCCCC4)C5CCCCC5,C26H32NP,390.0,60.0,,672937-64-3,,,,,
2-(di-tert-butylphosphaneyl)-1-(naphthalen-1-yl)-1H-pyrrole,781.0,CC(C)(C)P(c1cccn1-c1cccc2ccccc12)C(C)(C)C,CC(C)(C)P(C(C)(C)C)C1=CC=CN1C2=CC=CC3=C2C=CC=C3,C22H28NP,337.0,52.0,,740815-42-3,,,,,
PCy2Py,782.0,c1ccc(P(C2CCCCC2)C2CCCCC2)nc1,P(C1CCCCC1)(C2=CC=CC=N2)C3CCCCC3,C17H26NP,275.0,45.0,,959264-38-1,,,,,
2-(Di-1-adamantylphosphino)-N-phenylindole,783.0,c1ccc(cc1)n1c2ccccc2cc1P(C12CC3CC(C2)CC(C1)C3)C12CC3CC(C2)CC(C1)C3,C1(C=CC=C2)=C2N(C3=CC=CC=C3)C(P(C45C[C@H]6C[C@H](C[C@H](C6)C5)C4)C78C[C@H]9C[C@H](C[C@H](C9)C8)C7)=C1,C34H40NP,494.0,76.0,,740815-38-7,,,,,
1-butyl-2-(dicyclohexylphosphaneyl)-1H-pyrrole,784.0,CCCCn1cccc1P(C1CCCCC1)C1CCCCC1,CCCCN1C=CC=C1P(C2CCCCC2)C3CCCCC3,C20H34NP,319.0,56.0,,1257847-62-3,,,,,
(R) MonoPhos,785.0,CN(C)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,CN(P(OC1=CC=C(C=CC=C2)C2=[C@]13)OC4=[C@]3C(C=CC=C5)=C5C=C4)C,C22H18NO2P,359.0,44.0,,"157488-65-8 (R), 185449-80-3 (S), 345967-22-8 (no stereo)",,,,,LKB279
(R) P(OMe)2 OMe-MOP,786.0,COc1ccc2ccccc2c1-c1c(P(OC)OC)ccc2ccccc12,COc1c(c2c3ccccc3ccc2P(OC)OC)c4ccccc4cc1,C23H21O3P,376.0,48.0,,16737374-48-1 ®,,,,,
(R) P(CH2)2 OMe-MOP,787.0,COc1ccc2ccccc2c1-c1c(P2CC2)ccc2ccccc12,COc1c(c2c3ccccc3ccc2P4CC4)c5ccccc5cc1,C23H19OP,342.0,44.0,,1319734-89-8 ®,,,,,
(R) PMe2 OMe-MOP,788.0,COc1ccc2ccccc2c1-c1c(P(C)C)ccc2ccccc12,CP(c1ccc2ccccc2c1c3c(OC)ccc4ccccc34)C,C23H21OP,344.0,46.0,,"1000816-87-4 (R), 283602-80-2 (no stereo)",,,,,
(R) P(NMe2)2 OMe-MOP,789.0,COc1ccc2ccccc2c1-c1c(P(N(C)C)N(C)C)ccc2ccccc12,COc1c(c2c3ccccc3ccc2P(N(C)C)N(C)C)c4ccccc4cc1,C25H27N2OP,402.0,56.0,,"1637374-46-9 (R),",,,,,
PCy2(8Mes-2Nap),790.0,Cc1cc(C)c(-c2cccc3ccc(P(C4CCCCC4)C4CCCCC4)cc23)c(C)c1,CC1=CC(C)=CC(C)=C1C2=C3C=C(C=CC3=CC=C2)P(C4CCCCC4)C5CCCCC5,C31H39P,443.0,71.0,,not on scifinder,,,,,
PCy2(8TRIP-2Nap),791.0,CC(C)c1cc(C(C)C)c(-c2cccc3ccc(P(C4CCCCC4)C4CCCCC4)cc23)c(C(C)C)c1,CC(C)C1=C(C2=C3C=C(C=CC3=CC=C2)P(C4CCCCC4)C5CCCCC5)C(C(C)C)=CC(C(C)C)=C1,C37H51P,527.0,89.0,,not on scifinder,,,,,
PCyp2(8Mes-2Nap),792.0,Cc1cc(C)c(-c2cccc3ccc(P(C4CCCC4)C4CCCC4)cc23)c(C)c1,CC1=CC(C)=CC(C)=C1C2=C3C=C(C=CC3=CC=C2)P(C4CCCC4)C5CCCC5,C29H35P,415.0,65.0,,not on scifinder,,,,,
PCyp2(8TRIP-2Nap),793.0,CC(C)c1cc(C(C)C)c(-c2cccc3ccc(P(C4CCCC4)C4CCCC4)cc23)c(C(C)C)c1,CC(C)C1=C(C2=C3C=C(C=CC3=CC=C2)P(C4CCCC4)C5CCCC5)C(C(C)C)=CC(C(C)C)=C1,C35H47P,499.0,83.0,,not on scifinder,,,,,
PCy(8Mes-2Nap)2,794.0,Cc1cc(C)c(-c2cccc3ccc(P(c4ccc5cccc(-c6c(C)cc(C)cc6C)c5c4)C4CCCCC4)cc23)c(C)c1,CC1=CC(C)=CC(C)=C1C2=C3C=C(C=CC3=CC=C2)P(C(C=CC4=CC=C5)=CC4=C5C6=C(C)C=C(C)C=C6C)C7CCCCC7,C44H45P,605.0,90.0,,not on scifinder,,,,,
