,ligand_name,ligand_smiles,electrophile_name,electrophile_id,electrophile_smiles,nucleophile_name,nucleophile_id,nucleophile_smiles,product_smiles,yield
91,PCy3 HBF4,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,47.28
92,CgMe-PPh,CC12CC3(C)OC(C)(CC(C)(O1)P3c1ccccc1)O2,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,80.18
93,PPh3,c1ccc(P(c2ccccc2)c2ccccc2)cc1,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,77.37
94,X-Phos,CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,81.25
95,PnBu3 HBF4,CCCCP(CCCC)CCCC,5-Bromo-N-tert-butylpyridine-3-sulfonamide,e5,CC(C)(C)NS(=O)(=O)c1cncc(Br)c1,2-Isopropyl-1-methyl-1H-imidazole,nD,CC(C)c1nccn1C,CC(C)c1ncc(-c2cncc(S(=O)(=O)NC(C)(C)C)c2)n1C,77.33
96,A-caPhos,CN(C)c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,1.17
98,CX-FBu,CCCCC1(c2c(c3c1cccc3)cccc2)P(C4CCCCC4)C5CCCCC5,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,1.17
102,Kwong,c1ccc(-c2cc3ccccc3n2P(C2CCCCC2)C2CCCCC2)cc1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,21.87
104,P(o-Anis)3,COc1ccccc1P(c1ccccc1OC)c1ccccc1OC,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,13.31
107,"P(3,5-CF3-Ph)3",FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,23.74
112,tBPh-CPhos,CN(C)c1cccc(N(C)C)c1-c1ccccc1P(c1ccccc1)C(C)(C)C,2-Acetyl-5-bromothiophene,e2,CC(=O)c1ccc(Br)s1,1-Isopropylimidazole,nB,CC(C)n1ccnc1,CC(=O)c1ccc(-c2cncn2C(C)C)s1,33.47
